Name,Value,Server,Capability,RunBeforeStep,Ignore,RequiredSid,RequiredVid
RSSetMBufPoolSize,1,RootServer,NetworkControl,,,0x00000000,0x00000000
RSLoadModule,2,RootServer,NetworkControl,,,0x00000000,0x00000000
RSUnloadModule,3,RootServer,NetworkControl PowerMgmt,,,0x00000000,0x00000000
RSBind,4,RootServer,NetworkControl,,,0x00000000,0x00000000
RSUnbind,5,RootServer,NetworkControl PowerMgmt,,,0x00000000,0x00000000
RSShutdown,15,RootServer,NetworkControl PowerMgmt,,,0x00000000,0x00000000
RSGetModuleInfo,6,RootServer,NetworkControl,,,0x00000000,0x00000000
RSEnumerateModules,7,RootServer,NetworkControl,,,0x00000000,0x00000000
RSEnumerateSubModules,8,RootServer,NetworkControl,,,0x00000000,0x00000000
RSEnumerateBindings,9,RootServer,NetworkControl,,,0x00000000,0x00000000
RSCancelLoadModule,10,RootServer,NetworkControl,,,0x00000000,0x00000000
RSCancelUnloadModule,11,RootServer,NetworkControl PowerMgmt,,,0x00000000,0x00000000
RSCancelBind,12,RootServer,NetworkControl,,,0x00000000,0x00000000
RSCancelUnbind,13,RootServer,NetworkControl PowerMgmt,,,0x00000000,0x00000000
RSCloseSession,14,RootServer,NetworkControl,,,0x00000000,0x00000000
RSDbgMarkHeap,16,RootServer,NetworkControl,,,0x00000000,0x70000001
RSDbgCheckHeap,17,RootServer,NetworkControl,,,0x00000000,0x70000001
RSDbgMarkEnd,18,RootServer,NetworkControl,,,0x00000000,0x70000001
RSDbgFailNext,19,RootServer,NetworkControl,,,0x00000000,0x70000001
RSDbgFailNextMbuf,20,RootServer,NetworkControl,,,0x00000000,0x70000001
RSDbgSetMbufPoolLimit,21,RootServer,NetworkControl,,,0x00000000,0x70000001
RSDbgCheckMbuf,22,RootServer,NetworkControl,,,0x00000000,0x70000001
RSDbgMbufFreeSpace,23,RootServer,NetworkControl,,,0x00000000,0x70000001
RSDbgMbufTotalSpace,24,RootServer,NetworkControl,,,0x00000000,0x70000001
