Copyright © 2007 Nokia. All rights reserved.
This document is confidential information of Nokia.
Nokia operates a policy of continuous development.
The information which this document contains reflects our understanding at the time when presented.
Nokia reserves the right to revise this document or withdraw it at any time
without prior notice and states no obligation to update the data included in this document.
The contents of this document are provided "AS IS". 
Name,Description,RequirementID,Runtime variation name,Runtime variation ID
FF_3D_RINGING_TONES,"Device supports 3D ringing tones.","107-20642: Enable Integration of 3D Ringing Tone Settings to Profiles",KFeatureId3DRingingTones,1720
FF_3G_CELLBROADCAST,"Cell Broadcasting support on 3G mode.",417-13289,KFeatureIdFf3gCellbroadcast,175
FF_ADAPTIVE_WLAN_SCANNING_SUPPORT,"Adaptive WLAN Scanning (AWS) is a component that tells WLAN engine how often to perform WLAN background scanning. AWS listens and receives events from other components, concludes what would be the preferred scanning period, and then tells it to WLAN engine.",403-10013,KFeatureIdFfAdaptiveWlanScanningSupport,140
FF_AI_WLANSNIFFER_WIDGET,"Flag for WLANSniffer Homescreen widget.",417-22234,KFeatureIdFfAiWlansnifferWidget,172
FF_ASYNCH_FILE_SAVE_QUEUE,"Camcorder requires support from the Asynchronous File Save Queue.","101-37288: Camcorder UI: Asynchronous image saving queue for UI",KFeatureIdAsynchFileSaveQueue,1703
FF_AUDIO_MESSAGING_INCLUDE_IN_ROM,"This flags controls whether the Audio Messaing ROM files are included in the build.","401-1806: MMS Postcard runtime enabling/disabling",,
FF_AUDT,"Device supports Always Up-to-date Device Time (AUDT). This is an ability to update the device time, date and country/city automatically in phone start-up.",101-32284,KFeatureIdFfAudt,63
FF_AUTO_REDIAL_FOR_VIDEO_CALL,"""This flag indicates redial sequence, when video call is not succeeded for certain reasons.""","107-8819: VT: Auto-redial (automatic fallback to voicecall)",KFeatureIdAutoRedialForVideoCall,1723
FF_BIRTHDAY_IMPROVEMENT,"This feature flag is required for the enabling/disabling customized birthday & anniversary notifications for MyFaves contact in Calendar (under Community 1.0) into 3.2.3 platform. 

The requirement is 

B’day & Anniversary Notification for MyFaves contact

•	Picture of the MyFaves contact in the popup which can be masked as circular

•	Currently Birthday notification is same as any other Calendar alarm

",417-21324,KFeatureIdFfBirthdayImprovement,189
FF_BROWSER_PROGRESSIVE_DOWNLOAD,"This feature flag is needed to enable/disable the progressiveness of the downloads in download manager server and its clients.","TSW Error ID : PNAY-759982",KFeatureIdBrowserProgressiveDownload,1724
FF_CAPACITIVE_DISPLAY,"Device uses capacitive touch technology in its display.
",417-32294,KFeatureIdFfCapacitiveDisplay,183
FF_CHINESE_FONTS_HIRES,"This flag controls whether Chinese variants use TrueType fonts instead of the current stroke fonts in high resolution devices.

Current stroke fonts have good readability in small sizes and lower resolution devices. However, with the introduction of ever sharper and larger displays (HVGA, VGA), the stroke fonts look increasingly ""too simple"" and ""stick-like"" in bigger sizes. Fonts with thicker, more stylistic strokes are required for a proper look and user experience.

Following requirements already make a case for TTF fonts in Chinese:
417-16400: Chinese TrueType font for 9.1
406-137: TrueType font for Chinese

Note: The feature name intentionally avoids mentioning TrueType or TTF, as the font technology is irrelevant, high resolution being the operative keywords.","417-16400, 406-137",KFeatureIdChineseFontsHires,138
FF_CLOCK_MULTIPROCOL_SUPPORT,"This flag shall be used to determine if product programs need clock's multiprotocol support, i.e. getting time information from different time source protocols like GPS, SNTP, etc.. Product program can make a choice such that multiprotocol feature support can be made on or off. When multiprotocol support is off, then default NITZ protocol shall be choosen.",401-5792,KFeatureIdFfClockMultiprocolSupport,190
FF_COMMSDAT_CREATION_FROM_XML,"There will be a new component in S60 called CommsDatCreator (CDC) that will initialize CommsDat using an input XML file which is generated by the Configuration Tool.
When generating CommsDat the CDC needs that the default CommsDat in Z:\private\10202be9\cccccc00.cre is empty. 
The requested flag FF_COMMSDAT_CREATION_FROM_XML  enables the empty CommsDat to be included to the image as the default CommsDat.
",403-2451,KFeatureIdCommsDatCreationFromXml,67
FF_COMMSDAT_CREATOR,"This flags controls whether the CommsDatCreator component to be included to the image.","403-2451: Create CommsDat without emulator",,
FF_CONNECTION_OVERRIDE,"The feature enables the better utilisation of the WLAN connections that the user has manually opened from the WLAN widget. Such connections, called as 'user connections', will be automatically utilised in all applications that would normally use Internet SNAP connection. If the feature is enabled, the 'user connection' is enforced by default. The user can still control the utilisation of the 'user connection' by enabling/disabling the connection enforcement from WLAN settings.",417-22234,KFeatureIdFfConnectionOverride,179
FF_CONTACTS_GROUP_FUNCTIONALITY,"We need a feature flag for ROM Creation time variation. The Phonebook2 application is constructed on a plugin based architecture. This design allows the Phonebook2 application to be composed of various plugin components. The S60 platform Phonebook2 component contains a group UI plugin component, which implements the whole contacts group functionality. To enable a variant to create their own contact group functionality we need a feature flag so that the variant can remove the platform group plugin component. This allow the component to be removed from the ROM image, thus making the ROM size smaller.","417-21312 REQ T-MOBILE int cmt1.0: customised phonebook - Groups UI",,
FF_CONTACTS_NICKNAME,"The nickname functionality needs a feature flag for the following reasons:
-Phonebook2 component exports a central repository initialization file, which is used to improve the Phonebook application launch -The initialization file is read by the Symbian Contacts model server to initialize the Contacts view during the device boot sequence
 * S60 specifications define which fields take part in the device's contact name creation (first name, last name, company name)
 * The nickname requirement changes the S60 name creation rules, by adding the contacts nickname field to the above list of fields
 * Therefore the content of the Contacts view needs to be initialized differently depending on whether the nickname feature is enabled or disabled
 * The initialization file contains the configuration of the view, e.g. the contact fields which are used for sorting the Phonebook names list view
 * A feature flag is needed which allows Phonebook2 to export the correct variant of the Contact view initilization file
 * There is a considerable RAM usage penalty associated with keeping the nickname field in the contact view when the nickname feature is disabled
 * For further description of the Symbian Contacts view initilization see \src\common\generic\app-engines\cntmodel\documentation\Contacts_How-To_Improve_Application_Start-up_Time.doc
-Run-time variation can be used inside the Phonebook2 application to configure the application sort order
 * But the Symbian Contacts view's must be configured correctly in order to maintain existing performance, see above description
","417-21297 REQ T-MOBILE int cmt1.0: customised phonebook- NICKNAME changes",KFeatureIdFfContactsNickname,182
FF_CUSTOMER_HELPS_IN_USE,"Customer helps are included into image based on this flag.",,,
